MUSEUM,CATALOGUE,TL,WC,TLE,AMBN,BD,BL,DN,BW,SEX,LOCALITY,STATE/DEPARMENT,MUNICIPIO,COUNTRY,LATITUDE N,LONGITUDE W,COLLECTOR,COLLECTIO DATE,LINEAGE,ALTITUDE
DMNH,33879,13.307,54.167,27.333,2.74,4.47,6.287,2.11,5.81,M,Mexico Guerrero: Acahuizotla,Guerrero,Chilpancingo,México,17.3625171,-99.4672966,"Romero H., Sostenes",25/04/70,godmani,
DMNH,33880,13.373,54.333,31.167,2.69,4.293,6.807,1.683,6.253,F,Mexico Guerrero: Acahuizotla,Guerrero,Chilpancingo,México,17.3625171,-99.4672966,"Romero H., Sostenes",20/08/68,godmani,
DMNH,33881,13.383,53.833,30.667,2.503,3.783,6.44,1.813,6.023,M," Chimicotitlan, ca. 3 km SE; al E Acahuizotla",Guerrero,Chilpancingo,México,17.3174302,-99.4169814,"Romero H., Sostenes",21/04/68,godmani,
DMNH,34760,13.42,53,30,2.593,4.33,6.853,1.977,6.11,M,Mexico Guerrero: Acahuizotla,Guerrero,,México,17.3625171,-99.4672966,"Romero H., Sostenes",24/03/73,godmani,
DMNH,39203,13.107,50.333,29,NA,NA,6.687,2.05,5.9,M,Mexico Guerrero: Soyatepec (?= Zoyaltepec),Guerrero,,México,17.3508333,-99.5669444,"Romero H., Sostenes",20/12/72,godmani,
DMNH,39204,13.763,54,30,2.98,NA,6.47,NA,5.88,F,Mexico Guerrero: Soyatepec (?= Zoyaltepec),Guerrero,,México,17.3508333,-99.5669444,"Romero H., Sostenes",21/12/72,godmani,
MLZ,53300,13.403,52.5,30.333,2.763,4.153,6.38,1.91,6.347,M,"Zapotillo, a 3.5 km al SW de Autlán",Jalisco,,México,19.633703,-104.441847,Chester C. Lamb,06/10/47,godmani,
MLZ,53301,13.397,54.667,32,2.57,4.41,6.673,1.98,6.46,F,"Zapotillo, a 3.5 km al SW de Autlán",Jalisco,,México,19.633703,-104.441847,Chester C. Lamb,18/02/48,godmani,
DMNH,33847,13.153,57,28.667,2.77,4.557,6.487,1.877,6.09,M,"A 7 mi al SSW de La Cumbre de Autlán, Rancho La Calera",Jalisco,,México,19.5005556,-104.4336111,,25/08/66,godmani,
DMNH,33871,12.867,53.667,29.167,2.58,4.13,6.663,2.187,6.127,F,El Tuito; al S de Puerto Vallarta;  Arroyo Tía Cacilda,Jalisco,,México,20.3172222,-105.3255556,"Phillips, Allan",11/03/55,godmani,
DMNH,33893,13.26,53.833,28.667,2.65,4.28,6.973,2.087,6.043,F,Mexico Jalisco: El Tuito; S of Puerto Vallarta,Jalisco,,México,20.3172668,-105.32544,"Phillips, Allan",09/03/55,godmani,
AMNH,806487,12.827,54.833,31.833,3.08,4.827,6.65,3.503,4.85,M,,Jalisco,,México,,,,23/01/04,godmani,
AMNH,813855,13.013,51.917,29.667,2.537,4.097,7.015,3.71,4.757,F,"Montufar, El Paraíso",Jutiapa,,Guatemala,,,,14/11/69,affinis,
LSUMH,66822,13.287,47.78,26.833,2.727,4.313,7.22,1.727,6.313,M,2 mi al S de Pasaco,Jutiapa,,Guatemala,13.97958,-90.20688,,,affinis,
AMNH,103801,12.097,50.06,24.333,2.763,3.803,6.475,3.61,4.743,F,Uluce,Matagalpa,,Nicaragua,,,Wm. B. Richardson,26/07/09,affinis,
CNAIB,P009713,13.213,54,27.667,NA,NA,6.343,1.837,5.97,F,La Mina del Rincón a 1km al S de Salitre de Copala,Michoacán,Villa Victoria,México,,,E. Hernández M. ,25/08/82,godmani,
ANSP,54024,12.627,52.047,29.333,2.833,4.397,7.657,1.88,6.067,F,Miravalles,Miravalles,,Costa Rica,10.74667,-85.15,C. F. Underwood,09/12/85,affinis,
ANSP,54025,12.693,51.963,28.5,2.66,4.22,7.173,1.723,6.143,M,Miravalles,Miravalles,,Costa Rica,10.74667,-85.15,C. F. Underwood,08/12/85,affinis,
MCZ,149286,13.217,52.833,30,2.24,3.823,6.323,1.863,6,M,Divisadero,Morazan,,El Salvador,13.58333333,-88.03333333,"van Rossem, A. J., Dickey, D.R.",,affinis,
